REQ_NO,REQ_TYPE,CORP_NO,ERP_NUMBER,DESCRIPTOR,PART_NUMBER,PROPERTY_TERM,PROPERTY_VALUE,PROPERTY_UOM,PROP_FFT,DATA_TYPE,STATE,ORIGINATOR,BU_CDE,ORG_PLANT_CODE,ORG_PLANT_NAME,CREATE_DATE,UPDATED_BY,UPDATED_AT,ATTACHMENT,SHORT_FORMAT_DESCRIPTION,MATERIAL_TYPE,MATERIAL_GROUP,REVISION,USER_DETAIL,USER_PROFILE,DIVISION,PLANT,REQUEST_PLANT,REQUEST_DIVISION,MONTH,TASK_DURATION,SLA_DURATION,PURCHASE_ORDER_DESCRIPTION,ORIGINATING_DIVISION,PLANT_NAME,PLANT_GROUP,CATALOGUING_LEVEL
M-REQ-000119604,Creation Request,M000296435,742300,FLOODLIGHT,NULL,POWER FACTOR,>95% FULL LOAD,NULL,NULL,CONTROLLED_CONCEPT,Completed,Sandra Antonio,GX,3380,Kusile Power Station,41:47.5,Sandra Antonio,11:25.6,Material DCF - FLOODLIGHT for Synchronising lights-1.pdf,FLDLIGHT:MARINE GRADE DIE CAST;100%,SPARE PARTS,GX Plant,NULL,System Process,NULL,Generation (GX),NULL,NULL,NULL,-,NULL,NULL,FLOODLIGHT: TYPE: MARINE GRADE DIE CAST; DIMENSIONS: WD 658 X LG 777 X HT 934 X THK 527 MM; POWER CONSUMPTION: 1000/1400 W; LIGHT INTENSITY LEVEL: 5407 optic PMMA LX; MOUNT: HANDLE ARM BRACKET; EFFICACY: 100%; VOLTAGE: 198-264 V; POWER FACTOR: >95% FULL LOAD; SUPPL P/N: OMNIBLAST-3-E,GENERATION,Kusile Power Station,COAL FLEET,4
M-REQ-000118989,Creation Request,M000296127,741992,"CASING, PUMP",NULL,TYPE,BOILER WATER CIRCULATION,NULL,NULL,CONTROLLED_CONCEPT,Completed,Collen Mmope,GX,3200,Arnot Power Station,03:34.4,Collen Mmope,20:14.0,124 inner casing.pdf,CASING PMP:36810/240;370 HP;CARBON STEEL,SPARE PARTS,GX Plnt Blrs Burner,NULL,System Process,NULL,Generation (GX),NULL,NULL,NULL,-,NULL,NULL,"CASING, PUMP: TYPE: BOILER WATER CIRCULATION; PUMP SIZE: 370 HP; MATERIAL: CARBON STEEL; OEM P/N: 36810/240; VENDORS ARE RESPONSIBLE FOR ENSURING THAT THEY ARE PERFORMING AGAINST THE CORRECT DRAWING REVISION NUMBER (IF APPLICABLE).",GENERATION,Arnot Power Station,COAL FLEET,4
M-REQ-000119742,Creation Request,M000296482,742347,BAND,NULL,WIDTH,11.9,MILLIMETER,NULL,MEASURED_NUMBER,Completed,Chris Wolfaardt,ERI,ERI,Eskom Rotek Industries,37:13.1,Chris Wolfaardt,05:45.9,BAND 2.pdf,BAND:ROTOR ROW 15 TYPE 2;WD 11.9 MM;LG 4,SPARE PARTS,GX Plant,NULL,System Process,NULL,Eskom Rotek Industries (ERI),NULL,NULL,NULL,-,NULL,NULL,BAND: TYPE: ROTOR ROW 15 TYPE 2; WIDTH: 11.9 MM; LENGTH: 4 M; THICKNESS: 0.3 MM; MATERIAL: X10CRNI18-8; MANUF P/N: HTGD474471P3090,ERI,Eskom Rotek Industries,CORPORATE,4
M-REQ-000127916,Creation Request,M000299332,745197,"SIGN, SAFETY",NULL,DIMENSIONS,WD 190 X LG 190 X THK 3,MILLIMETER,NULL,MEASURED_NUMBER,Completed,Louis Hattingh,ESK,ESK,Eskom,25:49.1,Louis Hattingh,53:13.5,NULL,SIGN SFTY:FIRE HYDRANT;LOCATION;SQUARE,NON-STOCK MATERIAL,T/S MRO Sgn & Lbl,NULL,System Process,NULL,Transmission (TX),NULL,NULL,NULL,-,NULL,NULL,"SIGN, SAFETY: DISPLAY: FIRE HYDRANT; TYPE: LOCATION; DIMENSIONS: WD 190 X LG 190 X THK 3 MM; MATERIAL: ALUMINIUM; COLOR: WHITE; RED; SHAPE: SQUARE; COMPOSITE;WHITE S/S(0.3MM SKIN); RED BORDER",UNCATEGORISED,Western Region,DISTRIBUTION,4
M-REQ-000121090,Creation Request,M000297211,743076,"MODULE, ELECTRONIC",NULL,VOLTAGE,220,VOLT,NULL,MEASURED_NUMBER,Completed,Jabu Mchunu,ESK,ESK,Eskom,54:42.7,Jabu Mchunu,25:00.0,NULL,"MOD, ELEC:CDING-01;220 V",SPARE PARTS,GX Plant,NULL,System Process,NULL,Generation (GX),NULL,NULL,NULL,-,NULL,NULL,"MODULE, ELECTRONIC: TYPE: CDING-01; VOLTAGE: 220 V; MANUF P/N: 6911340001-SINGLE UPS 1-DT320878-L12-1351; K 1 AUXBAY  - SINGLE UPS 1 - 11 BRD 10  - 20KVA; VENDORS ARE RESPONSIBLE FOR ENSURING THAT THEY ARE PERFORMING AGAINST THE CORRECT DRAWING REVISION NUMBER (IF APPLICABLE).",GENERATION,Head Office,HEAD_OFFICE,5
M-REQ-000127899,Creation Request,M000299279,745144,"SIGN, SAFETY",NULL,DIMENSIONS,WD 190 X LG 190 X THK 3,MILLIMETER,NULL,MEASURED_NUMBER,Completed,Louis Hattingh,ESK,ESK,Eskom,25:28.0,Louis Hattingh,51:45.9,NULL,SIGN SFTY:GENTS TOILET;INDICATION;SQUARE,NON-STOCK MATERIAL,T/S MRO Sgn & Lbl,NULL,System Process,NULL,Transmission (TX),NULL,NULL,NULL,-,NULL,NULL,"SIGN, SAFETY: DISPLAY: GENTS TOILET; TYPE: INDICATION; DIMENSIONS: WD 190 X LG 190 X THK 3 MM; MATERIAL: ALUMINIUM; COLOR: WHITE; GREEN; BLACK; SHAPE: SQUARE; INSCRIPTION COLOR: BLACK; COMPOSITE;WHITE S/S(0.3MM SKIN); BLUE SQUARE WITH MAN IN WHITE",UNCATEGORISED,Western Region,DISTRIBUTION,4
M-REQ-000129976,Creation Request,M000300401,746266,"MODULE, ELECTRONIC",NULL,TYPE,SEC-00 CAPACITOR,NULL,NULL,CONTROLLED_CONCEPT,Completed,Jabu Mchunu,ESK,ESK,Eskom,53:33.8,Jabu Mchunu,35:08.0,NULL,"MOD, ELEC:SEC-00 CAPACITOR;400 V",SPARE PARTS,GX Plant,NULL,System Process,NULL,Generation (GX),NULL,NULL,NULL,-,NULL,NULL,"MODULE, ELECTRONIC: TYPE: SEC-00 CAPACITOR; VOLTAGE: 400 V; MANUF P/N: 110010019- UPS 1-DT582617 -L15-1873; STATION 2 C&I UPS 1 -  UPS 1 - 02 BRS 10  - 40KVA; VENDORS ARE RESPONSIBLE FOR ENSURING THAT THEY ARE PERFORMING AGAINST THE CORRECT DRAWING REVISION NUMBER (IF APPLICABLE).",GENERATION,Head Office,HEAD_OFFICE,5
M-REQ-000111881,Creation Request,M000291664,737529,"RANGE FINDER, LASER",NULL,RANGE,80,METER,NULL,MEASURED_NUMBER,Completed,Chris Wolfaardt,ERI,ERI,Eskom Rotek Industries,18:42.7,Chris Wolfaardt,30:33.7,Material DCF - Range Finder - 22-02-2024.pdf,"RANGE FINDER, LASER:80 M;6MM AT 10M;138",NON-STOCK MATERIAL,Tactical Source,NULL,System Process,NULL,Eskom Rotek Industries (ERI),NULL,NULL,NULL,-,NULL,NULL,"RANGE FINDER, LASER: RANGE: 80 M; ACCURACY: 6MM AT 10M; MEASUREMENT UNIT: METER; POWER SOURCE: 2 X AAA BATTERIES; WEIGHT: 138 G; MODEL NO: LD080PI; 360 DEGREE INCLINATION SENSOR - HEIGHT TRACKING; RECORDS HISTORY OF 20 MEASUREMENTS; PROVIDES BOTH STANDARD AND METRIC UNITS OF MEASUREMENT; BATTERY RUN TIME DELIVERS UP TO 5,000 MEASUREMENTS",ERI,Eskom Rotek Industries,CORPORATE,5
M-REQ-000122970,Creation Request,M000298870,744735,PLATE,NULL,DIMENSIONS,ID 100,MILLIMETER,NULL,MEASURED_NUMBER,Completed,Keabotsoe Segone,ESK,ESK,Eskom,22:00.6,Keabotsoe Segone,51:30.3,Material DCF - PLATE.pdf,PLATE:SANDWICH PLATE;ID 100 MM,SPARE PARTS,GX Plnt Blrs Burner,NULL,System Process,NULL,Generation (GX),NULL,NULL,NULL,-,NULL,NULL,"PLATE: TYPE: SANDWICH PLATE; DIMENSIONS: ID 100 MM; MATERIAL: STEEL AND WHITE METAL; APPLICATION: FOR USE ON SFP HPT POM 32 NDE BEARING BRACKET; SUPPL P/N: 004; DRAWING NO: 9-104600818; REFERENCE NO: 104600818004; HPT POM 32-25 / 5STG.
SANDWICH PLATE",GENERATION,Head Office,HEAD_OFFICE,4
M-REQ-000119562,Creation Request,M000296318,742183,"COOLER, FLUID INDUSTRIAL",NULL,CAPACITY RATING,4.54,NULL,NULL,MEASURED_NUMBER,Completed,Zwelethu Thabede,GX,GX,Generation,10:32.6,Zwelethu Thabede,20:16.2,NULL,"COOLER FLD INDSTRL:GVLBLR2,3,4AH61N;SCRT",SPARE PARTS,GX Plnt Blrs Burner,NULL,System Process,NULL,Generation (GX),NULL,NULL,NULL,-,NULL,NULL,"COOLER, FLUID INDUSTRIAL: TYPE: SCRT; MATERIAL: MILD STEEL; CAPACITY RATING: 4.54; OEM P/N: GVLBLR2,3,4AH61N; DRAWING NO: DE-59-000-000-45; VENDORS ARE RESPONSIBLE FOR ENSURING THAT THEY ARE PERFORMING AGAINST THE CORRECT DRAWING REVISION NUMBER (IF APPLICABLE).",GENERATION,Head Office,HEAD_OFFICE,4
M-REQ-000120803,Creation Request,M000297145,743010,"MODULE, ELECTRONIC",NULL,TYPE,SUBD25,NULL,NULL,CONTROLLED_CONCEPT,Completed,Jabu Mchunu,ESK,ESK,Eskom,59:55.8,Jabu Mchunu,51:56.4,NULL,"MOD, ELEC:SUBD25;220 V",SPARE PARTS,GX Plant,NULL,System Process,NULL,Generation (GX),NULL,NULL,NULL,-,NULL,NULL,"MODULE, ELECTRONIC: TYPE: SUBD25; VOLTAGE: 220 V; MANUF P/N: 6911620000-DUAL UPS 1-DT320876-L16-0186; K5 ACC - DUAL UPS 1 - 52 BRD 10  - 10KVA; VENDORS ARE RESPONSIBLE FOR ENSURING THAT THEY ARE PERFORMING AGAINST THE CORRECT DRAWING REVISION NUMBER (IF APPLICABLE).",GENERATION,Head Office,HEAD_OFFICE,5
M-REQ-000113828,Creation Request,M000292254,738119,"TRANSMITTER, DIFFERENTIAL PRESSURE",NULL,TYPE,BOILERS,NULL,NULL,CONTROLLED_CONCEPT,Completed,Nellie Groenewald,GX,3210,Duvha Power Station,47:43.4,Nellie Groenewald,40:22.0,Sibu Makhoba 7MF4433-1FA22-1AB6-Z.pdf,TRANSMITTER DP:16-1600 MBAR;O/P 4-20 MA,SPARE PARTS,GX Plant,NULL,System Process,NULL,Generation (GX),NULL,NULL,NULL,-,NULL,NULL,"TRANSMITTER, DIFFERENTIAL PRESSURE: RANGE: 16-1600 MBAR; OUTPUT: 4-20 MA; SUPPLY: 24 VDC; WORKING PRESSURE: 470 PSI; CONNECTION: 7/16 IN-20UNF; DIAPHRAGM MATERIAL: STAINLESS STEEL; ELECTRICAL CONNECTION: M20 X 1.5 FEMALE THREAD; APPLICATION: BOILER; TYPE: BOILERS; MOUNT: DIRECT; MANUF P/N: 7MF4433-1FA22-1AB6-Z; 6.4 TO 640 INH2O; PROCESS FLANGE SCREWS SS; HOUSING COVER WITH WINDOW",GENERATION,Duvha Power Station,COAL FLEET,4
M-REQ-000121230,Creation Request,M000297652,743517,"MODULE, ELECTRONIC",NULL,VOLTAGE,220,VOLT,NULL,MEASURED_NUMBER,Completed,Jabu Mchunu,ESK,ESK,Eskom,57:31.4,Jabu Mchunu,35:16.1,NULL,"MOD, ELEC:CDING-01;220 V",SPARE PARTS,GX Plant,NULL,System Process,NULL,Generation (GX),NULL,NULL,NULL,-,NULL,NULL,"MODULE, ELECTRONIC: TYPE: CDING-01; VOLTAGE: 220 V; MANUF P/N: 6911340001-DUAL UPS 1-DT320876-L12-2002; K1 CPP - DUAL UPS 1 - 13 BRD 10  - 10KVA; VENDORS ARE RESPONSIBLE FOR ENSURING THAT THEY ARE PERFORMING AGAINST THE CORRECT DRAWING REVISION NUMBER (IF APPLICABLE).",GENERATION,Head Office,HEAD_OFFICE,5
M-REQ-000113828,Creation Request,M000292254,738119,"TRANSMITTER, DIFFERENTIAL PRESSURE",NULL,TYPE,BOILERS,NULL,NULL,CONTROLLED_CONCEPT,Completed,Nellie Groenewald,GX,3210,Duvha Power Station,47:43.4,Nellie Groenewald,40:22.0,7MF4.pdf,TRANSMITTER DP:16-1600 MBAR;O/P 4-20 MA,SPARE PARTS,GX Plant,NULL,System Process,NULL,Generation (GX),NULL,NULL,NULL,-,NULL,NULL,"TRANSMITTER, DIFFERENTIAL PRESSURE: RANGE: 16-1600 MBAR; OUTPUT: 4-20 MA; SUPPLY: 24 VDC; WORKING PRESSURE: 470 PSI; CONNECTION: 7/16 IN-20UNF; DIAPHRAGM MATERIAL: STAINLESS STEEL; ELECTRICAL CONNECTION: M20 X 1.5 FEMALE THREAD; APPLICATION: BOILER; TYPE: BOILERS; MOUNT: DIRECT; MANUF P/N: 7MF4433-1FA22-1AB6-Z; 6.4 TO 640 INH2O; PROCESS FLANGE SCREWS SS; HOUSING COVER WITH WINDOW",GENERATION,Duvha Power Station,COAL FLEET,4
M-REQ-000111317,Creation Request,M000291468,737333,O RING,NULL,INSIDE DIAMETER,34.52,MILLIMETER,NULL,MEASURED_NUMBER,Completed,Nellie Groenewald,GX,3210,Duvha Power Station,38:52.3,Nellie Groenewald,40:19.9,Ashwin Narsai FRF O RIng 34.52 mm.pdf,O RING:ID 34.52 MM;WD 3.53 MM;BROWN,SPARE PARTS,GX Plant,NULL,System Process,NULL,Generation (GX),NULL,NULL,NULL,-,NULL,NULL,"O RING: INSIDE DIAMETER: 34.52 MM; WIDTH: 3.53 MM; MATERIAL: VITON GRADE A; COLOR: BROWN; APPLICATION: FRF PLANT; TO BE MANUFACTURED IN ACCORDANCE WITH ISO STANDARD 3601-1 AND QUALITY STANDARD ISO 3601-3; EQUIVALENT ASTM STANDARDS ACCEPTABLE (E.G. ASTM D2000); STANDARD MUST BE LISTED WITH SUPPLY; QUALITY MANAGEMENT SYSTEMS TO ISO 9001; EQUIVALENT QUALITY MANGEMENT SYSTEMS ACCEPTABLE; MUST BE LISTED AS SUCH WITH SUPPLY; MATERIAL CERTIFICATE FOR VITON A GRADE TO ACCOMPANY THE SUPPLY; STORAGE AND SHELF LIFE IN ACCORDANCE WITH STANDARD ARP 5316; ALL O RING PACKAGED WITH LABELS CLEARLY IDENTIFYING SIZES; MATERIAL BATCH NUMBERS, AND UNIQUE TRACEABILITY NUMBER FOR QUALITY PURPOSES; VENDORS ARE RESPONSIBLE FOR ENSURING THAT THEY ARE PERFORMING AGAINST THE CORRECT DRAWING REVISION NUMBER (IF APPLICABLE).",GENERATION,Duvha Power Station,COAL FLEET,4
M-REQ-000116722,Creation Request,M000294527,740392,"BEND, PIPE",NULL,RADIUS,1500,MILLIMETER,NULL,MEASURED_NUMBER,Completed,Agnes Tsima,ESK,ESK,Eskom,35:19.6,Agnes Tsima,50:29.0,6722.pdf,"BEND, PIPE:OD 558 MM;FLANGE;CARBON STEEL",SPARE PARTS,GX Plant,NULL,System Process,NULL,Generation (GX),NULL,NULL,NULL,-,NULL,NULL,"BEND, PIPE: OUTSIDE DIAMETER: 558 MM; CONNECTION: FLANGE; MATERIAL: CARBON STEEL; DEGREE: 15 DEG; RADIUS: 1500 MM; GRADE: 43A; SCHEDULE: 6 MM; MEDIA FOR WHICH DESIGNED: PULVERISED FUEL (COAL); DRAWING NO: 29-47/46921RV1; R31;BS4360",GENERATION,Matla Power Station,COAL FLEET,4
M-REQ-000112804,Creation Request,M000292008,737873,"BREAKER, CIRCUIT",NULL,CLASSIFICATION,"M2, C2",NULL,NULL,CONTROLLED_CONCEPT,Completed,Louis Hattingh,ESK,ESK,Eskom,08:34.3,Louis Hattingh,20:32.2,NULL,"BKR:NON-SF7;33 KV;2500 A;31,5 KA;3P;220",PRIMARY ENERGY,P&S Plnt S/Gear,NULL,System Process,NULL,Transmission (TX),NULL,NULL,NULL,-,NULL,NULL,"BREAKER, CIRCUIT: SWITCHGEAR DESIGN: NON-SF7; POTENTIAL: 33 KV; CURRENT: 2500 A; SHORT TIME CURRENT: 31,5 KA; POLE: 3P; CONTROL VOLTAGE: 220 V; CREEPAGE: 31 MM/KV; BASIC INSULATION LEVEL: 200; INSULATION MATERIAL: COMPOSITE OR PORCELAIN; OPERATING CONTROL TYPE: SPRING; POLLUTION CLASS: E-VERY HEAVY; APPLICATION: FEEDER, BUS SECTION, BUS COUPLER, TRANSFORMER,  TIE, REACTOR, CAPACITOR; CLASSIFICATION: M2, C2; SPECIFICATION: 240-180000572; MOUNT: MEDIUM EQUIPMENT SUPPORT (MES) STEEL STRUCTURE; INTERRUPT CAPACITY: 31,5 KA",TRANSMISSION,Transmission,UNCATEGORISED,4
M-REQ-000114774,Creation Request,M000292660,738525,STRIP,NULL,APPLICATION,HP11 TURBINE ROW 12,NULL,NULL,CONTROLLED_CONCEPT,Completed,LEAN MALHERBE,ESK,ESK,Eskom,57:40.9,LEAN MALHERBE,01:50.5,NULL,STRIP:GMD6431689P1252;GMD6431689P1254;SS,SPARE PARTS,GX Plnt T/bns,NULL,System Process,NULL,Generation (GX),NULL,NULL,NULL,-,NULL,NULL,"STRIP: TYPE: SEALING RDZ 5P; WIDTH: 6.1 MM; LENGTH: 1.59 M; THICKNESS: 0.5 MM; MATERIAL: STAINLESS STEEL; APPLICATION: HP11 TURBINE ROW 12; OEM P/N: GMD6431689P1252, OEM: GE STEAM POWER SERVICE; GMD6431689P1254, OEM: GE STEAM POWER SERVICE; DRAWING NO: GMD6431689R0002/1252; GMD6431689R0002/1254; REFERENCE NO: HSTR= 6.1DSTR= 946.9RH12",GENERATION,Head Office,HEAD_OFFICE,4
M-REQ-000111056,Creation Request,M000291440,737305,"BAR, ROUND",NULL,LENGTH,800,MILLIMETER,NULL,MEASURED_NUMBER,Completed,Chris Wolfaardt,ERI,ERI,Eskom Rotek Industries,48:34.2,Chris Wolfaardt,50:22.5,DCF-BAR ROUND 120MM.pdf,BAR RD:120 MM;LG 800 MM;STAINLESS STEEL,RAW MATERIAL,M&Cn Raw Mtl Steel,NULL,System Process,NULL,Eskom Rotek Industries (ERI),NULL,NULL,NULL,-,NULL,NULL,"BAR, ROUND: NOMINAL DIAMETER: 120 MM; LENGTH: 800 MM; MATERIAL: STAINLESS STEEL; PROCESS: HOT ROLLED; GRADE: 321; SPECIFICATION: 3.2 CERTIFICATE",ERI,Eskom Rotek Industries,CORPORATE,4
